D00049	hsa338442	Interactive	1.0
D00454	hsa3362	Interactive	1.0
D00465	hsa1128	Interactive	1.0
D00465	hsa1129	Interactive	1.0
D00480	hsa3269	Interactive	1.0
D00483	hsa153	Interactive	1.0
D00483	hsa154	Interactive	1.0
D00483	hsa155	Interactive	1.0
D00493	hsa1812	Interactive	1.0
D00493	hsa1813	Interactive	1.0
D00493	hsa1814	Interactive	1.0
D00493	hsa1816	Interactive	1.0
D00493	hsa3269	Interactive	1.0
D00493	hsa3356	Interactive	1.0
D00494	hsa11255	Interactive	1.0
D00494	hsa1128	Interactive	1.0
D00494	hsa1129	Interactive	1.0
D00494	hsa1131	Interactive	1.0
D00494	hsa1132	Interactive	1.0
D00494	hsa1133	Interactive	1.0
D00494	hsa148	Interactive	1.0
D00494	hsa1813	Interactive	1.0
D00494	hsa3269	Interactive	1.0
D00494	hsa3356	Interactive	1.0
D00494	hsa59340	Interactive	1.0
D00498	hsa4988	Interactive	1.0
D00499	hsa8843	Interactive	1.0
D00503	hsa148	Interactive	1.0
D00503	hsa1812	Interactive	1.0
D00503	hsa1813	Interactive	1.0
D00503	hsa1814	Interactive	1.0
D00509	hsa146	Interactive	1.0
D00509	hsa147	Interactive	1.0
D00509	hsa148	Interactive	1.0
D00509	hsa150	Interactive	1.0
D00509	hsa151	Interactive	1.0
D00509	hsa152	Interactive	1.0
D00513	hsa146	Interactive	1.0
D00513	hsa147	Interactive	1.0
D00513	hsa148	Interactive	1.0
D00513	hsa150	Interactive	1.0
D00513	hsa151	Interactive	1.0
D00513	hsa153	Interactive	1.0
D00513	hsa154	Interactive	1.0
D00513	hsa155	Interactive	1.0
D00513	hsa3350	Interactive	1.0
D00513	hsa3351	Interactive	1.0
D00513	hsa3352	Interactive	1.0
D00513	hsa3354	Interactive	1.0
D00513	hsa3355	Interactive	1.0
D00513	hsa3356	Interactive	1.0
D00513	hsa3357	Interactive	1.0
D00513	hsa3358	Interactive	1.0
D00513	hsa3360	Interactive	1.0
D00513	hsa3361	Interactive	1.0
D00513	hsa3362	Interactive	1.0
D00514	hsa150	Interactive	1.0
D00520	hsa3269	Interactive	1.0
D00521	hsa3269	Interactive	1.0
D00522	hsa185	Interactive	1.0
D00523	hsa185	Interactive	1.0
D00524	hsa1128	Interactive	1.0
D00524	hsa1129	Interactive	1.0
D00524	hsa8843	Interactive	1.0
D00525	hsa1128	Interactive	1.0
D00528	hsa10161	Interactive	1.0
D00528	hsa134	Interactive	1.0
D00528	hsa135	Interactive	1.0
D00528	hsa136	Interactive	1.0
D00528	hsa140	Interactive	1.0
D00528	hsa2846	Interactive	1.0
D00528	hsa3577	Interactive	1.0
D00528	hsa5028	Interactive	1.0
D00528	hsa5029	Interactive	1.0
D00528	hsa5030	Interactive	1.0
D00528	hsa5031	Interactive	1.0
D00528	hsa5032	Interactive	1.0
D00528	hsa64805	Interactive	1.0
D00528	hsa9934	Interactive	1.0
D00540	hsa1128	Interactive	1.0
D00540	hsa1129	Interactive	1.0
D00542	hsa3577	Interactive	1.0
D00559	hsa1814	Interactive	1.0
D00560	hsa1812	Interactive	1.0
D00560	hsa1813	Interactive	1.0
D00560	hsa1814	Interactive	1.0
D00560	hsa1816	Interactive	1.0
D00560	hsa4985	Interactive	1.0
D00563	hsa150	Interactive	1.0
D00563	hsa151	Interactive	1.0
D00563	hsa3356	Interactive	1.0
D00563	hsa3358	Interactive	1.0
D00574	hsa3577	Interactive	1.0
D00598	hsa153	Interactive	1.0
D00598	hsa154	Interactive	1.0
D00601	hsa153	Interactive	1.0
D00601	hsa154	Interactive	1.0
D00604	hsa146	Interactive	1.0
D00604	hsa150	Interactive	1.0
D00604	hsa151	Interactive	1.0
D00604	hsa152	Interactive	1.0
D00606	hsa150	Interactive	1.0
D00606	hsa151	Interactive	1.0
D00606	hsa152	Interactive	1.0
D00607	hsa146	Interactive	1.0
D00607	hsa147	Interactive	1.0
D00607	hsa148	Interactive	1.0
D00607	hsa150	Interactive	1.0
D00607	hsa151	Interactive	1.0
D00607	hsa152	Interactive	1.0
D00609	hsa146	Interactive	1.0
D00609	hsa147	Interactive	1.0
D00609	hsa148	Interactive	1.0
D00609	hsa150	Interactive	1.0
D00609	hsa151	Interactive	1.0
D00609	hsa152	Interactive	1.0
D00613	hsa150	Interactive	1.0
D00613	hsa151	Interactive	1.0
D00613	hsa152	Interactive	1.0
D00613	hsa1812	Interactive	1.0
D00613	hsa1816	Interactive	1.0
D00627	hsa185	Interactive	1.0
D00632	hsa153	Interactive	1.0
D00632	hsa154	Interactive	1.0
D00635	hsa153	Interactive	1.0
D00635	hsa154	Interactive	1.0
D00645	hsa153	Interactive	1.0
D00645	hsa154	Interactive	1.0
D00646	hsa1128	Interactive	1.0
D00646	hsa1129	Interactive	1.0
D00665	hsa3269	Interactive	1.0
D00666	hsa3269	Interactive	1.0
D00673	hsa3274	Interactive	1.0
D00674	hsa3355	Interactive	1.0
D00675	hsa3351	Interactive	1.0
D00675	hsa3352	Interactive	1.0
D00676	hsa3351	Interactive	1.0
D00676	hsa3352	Interactive	1.0
D00676	hsa3355	Interactive	1.0
D00682	hsa5731	Interactive	1.0
D00683	hsa154	Interactive	1.0
D00684	hsa154	Interactive	1.0
D00687	hsa154	Interactive	1.0
D00688	hsa154	Interactive	1.0
D00715	hsa1128	Interactive	1.0
D00726	hsa1128	Interactive	1.0
D00726	hsa1813	Interactive	1.0
D00726	hsa1814	Interactive	1.0
D00726	hsa3350	Interactive	1.0
D00726	hsa3351	Interactive	1.0
D00726	hsa3352	Interactive	1.0
D00726	hsa3354	Interactive	1.0
D00726	hsa3355	Interactive	1.0
D00726	hsa3356	Interactive	1.0
D00726	hsa3357	Interactive	1.0
D00726	hsa3358	Interactive	1.0
D00726	hsa3360	Interactive	1.0
D00726	hsa3361	Interactive	1.0
D00726	hsa3362	Interactive	1.0
D00726	hsa8843	Interactive	1.0
D00760	hsa1129	Interactive	1.0
D00765	hsa1129	Interactive	1.0
D00769	hsa64805	Interactive	1.0
D00775	hsa2911	Interactive	1.0
D00775	hsa2912	Interactive	1.0
D00775	hsa2913	Interactive	1.0
D00775	hsa2914	Interactive	1.0
D00775	hsa2915	Interactive	1.0
D00775	hsa2916	Interactive	1.0
D00775	hsa2917	Interactive	1.0
D00775	hsa2918	Interactive	1.0
D00779	hsa1128	Interactive	1.0
D00779	hsa1129	Interactive	1.0
D00780	hsa1813	Interactive	1.0
D00790	hsa1812	Interactive	1.0
D00790	hsa1813	Interactive	1.0
D00837	hsa4986	Interactive	1.0
D00837	hsa4988	Interactive	1.0
D00838	hsa4986	Interactive	1.0
D00838	hsa4988	Interactive	1.0
D00845	hsa4988	Interactive	1.0
D00954	hsa148	Interactive	1.0
D00965	hsa148	Interactive	1.0
D00987	hsa1813	Interactive	1.0
D00996	hsa146	Interactive	1.0
D00996	hsa147	Interactive	1.0
D00996	hsa148	Interactive	1.0
D00996	hsa150	Interactive	1.0
D00996	hsa151	Interactive	1.0
D00996	hsa152	Interactive	1.0
D00996	hsa153	Interactive	1.0
D00996	hsa154	Interactive	1.0
D00996	hsa155	Interactive	1.0
D01020	hsa146	Interactive	1.0
D01020	hsa147	Interactive	1.0
D01020	hsa148	Interactive	1.0
D01022	hsa146	Interactive	1.0
D01022	hsa147	Interactive	1.0
D01022	hsa148	Interactive	1.0
D01022	hsa150	Interactive	1.0
D01022	hsa151	Interactive	1.0
D01022	hsa152	Interactive	1.0
D01024	hsa146	Interactive	1.0
D01024	hsa147	Interactive	1.0
D01024	hsa148	Interactive	1.0
D01051	hsa146	Interactive	1.0
D01051	hsa147	Interactive	1.0
D01051	hsa148	Interactive	1.0
D01051	hsa3350	Interactive	1.0
D01051	hsa3356	Interactive	1.0
D01051	hsa3363	Interactive	1.0
D01071	hsa3577	Interactive	1.0
D01103	hsa1128	Interactive	1.0
D01118	hsa1128	Interactive	1.0
D01126	hsa222545	Interactive	1.0
D01164	hsa1813	Interactive	1.0
D01164	hsa1814	Interactive	1.0
D01164	hsa3350	Interactive	1.0
D01164	hsa3356	Interactive	1.0
D01164	hsa3357	Interactive	1.0
D01164	hsa3358	Interactive	1.0
D01227	hsa1909	Interactive	1.0
D01227	hsa1910	Interactive	1.0
D01236	hsa552	Interactive	1.0
D01236	hsa554	Interactive	1.0
D01242	hsa3269	Interactive	1.0
D01269	hsa1128	Interactive	1.0
D01295	hsa1812	Interactive	1.0
D01295	hsa1813	Interactive	1.0
D01295	hsa1814	Interactive	1.0
D01295	hsa1816	Interactive	1.0
D01295	hsa3269	Interactive	1.0
D01297	hsa1128	Interactive	1.0
D01324	hsa3269	Interactive	1.0
D01332	hsa3269	Interactive	1.0
D01346	hsa2918	Interactive	1.0
D01352	hsa5737	Interactive	1.0
D01352	hsa5739	Interactive	1.0
D01358	hsa146	Interactive	1.0
D01358	hsa147	Interactive	1.0
D01358	hsa148	Interactive	1.0
D01358	hsa3356	Interactive	1.0
D01386	hsa154	Interactive	1.0
D01390	hsa153	Interactive	1.0
D01390	hsa154	Interactive	1.0
D01390	hsa155	Interactive	1.0
D01441	hsa9283	Interactive	1.0
D01454	hsa153	Interactive	1.0
D01454	hsa154	Interactive	1.0
D01454	hsa155	Interactive	1.0
D01462	hsa1813	Interactive	1.0
D01603	hsa146	Interactive	1.0
D01603	hsa147	Interactive	1.0
D01603	hsa148	Interactive	1.0
D01603	hsa150	Interactive	1.0
D01603	hsa151	Interactive	1.0
D01603	hsa152	Interactive	1.0
D01652	hsa5724	Interactive	1.0
D01692	hsa148	Interactive	1.0
D01699	hsa1131	Interactive	1.0
D01712	hsa134	Interactive	1.0
D01712	hsa135	Interactive	1.0
D01713	hsa146	Interactive	1.0
D01713	hsa147	Interactive	1.0
D01713	hsa148	Interactive	1.0
D01713	hsa150	Interactive	1.0
D01713	hsa151	Interactive	1.0
D01713	hsa3269	Interactive	1.0
D01713	hsa3274	Interactive	1.0
D01713	hsa3356	Interactive	1.0
D01717	hsa23620	Interactive	1.0
D01717	hsa3269	Interactive	1.0
D01745	hsa1813	Interactive	1.0
D01782	hsa3269	Interactive	1.0
D01828	hsa10800	Interactive	1.0
D01871	hsa1128	Interactive	1.0
D01871	hsa1129	Interactive	1.0
D01871	hsa1131	Interactive	1.0
D01871	hsa1132	Interactive	1.0
D01871	hsa1133	Interactive	1.0
D01891	hsa5733	Interactive	1.0
D01925	hsa7201	Interactive	1.0
D01964	hsa5737	Interactive	1.0
D01965	hsa146	Interactive	1.0
D01965	hsa147	Interactive	1.0
D01965	hsa148	Interactive	1.0
D01973	hsa3350	Interactive	1.0
D01973	hsa3351	Interactive	1.0
D01973	hsa3352	Interactive	1.0
D01973	hsa3354	Interactive	1.0
D01973	hsa3355	Interactive	1.0
D01973	hsa3357	Interactive	1.0
D01973	hsa3363	Interactive	1.0
D01994	hsa3360	Interactive	1.0
D02007	hsa7201	Interactive	1.0
D02066	hsa153	Interactive	1.0
D02066	hsa154	Interactive	1.0
D02066	hsa155	Interactive	1.0
D02070	hsa1128	Interactive	1.0
D02070	hsa1129	Interactive	1.0
D02070	hsa1131	Interactive	1.0
D02070	hsa1132	Interactive	1.0
D02070	hsa1133	Interactive	1.0
D02076	hsa150	Interactive	1.0
D02076	hsa151	Interactive	1.0
D02076	hsa152	Interactive	1.0
D02082	hsa185	Interactive	1.0
D02147	hsa154	Interactive	1.0
D02149	hsa146	Interactive	1.0
D02149	hsa147	Interactive	1.0
D02149	hsa148	Interactive	1.0
D02149	hsa150	Interactive	1.0
D02149	hsa151	Interactive	1.0
D02149	hsa152	Interactive	1.0
D02149	hsa153	Interactive	1.0
D02149	hsa154	Interactive	1.0
D02149	hsa155	Interactive	1.0
D02150	hsa153	Interactive	1.0
D02150	hsa154	Interactive	1.0
D02150	hsa155	Interactive	1.0
D02234	hsa146	Interactive	1.0
D02234	hsa147	Interactive	1.0
D02234	hsa148	Interactive	1.0
D02237	hsa146	Interactive	1.0
D02237	hsa147	Interactive	1.0
D02237	hsa148	Interactive	1.0
D02237	hsa150	Interactive	1.0
D02237	hsa151	Interactive	1.0
D02237	hsa152	Interactive	1.0
D02250	hsa6752	Interactive	1.0
D02250	hsa6753	Interactive	1.0
D02250	hsa6755	Interactive	1.0
D02278	hsa222545	Interactive	1.0
D02279	hsa222545	Interactive	1.0
D02327	hsa1128	Interactive	1.0
D02327	hsa3269	Interactive	1.0
D02338	hsa153	Interactive	1.0
D02338	hsa154	Interactive	1.0
D02338	hsa155	Interactive	1.0
D02340	hsa1813	Interactive	1.0
D02340	hsa1814	Interactive	1.0
D02340	hsa3356	Interactive	1.0
D02342	hsa153	Interactive	1.0
D02342	hsa154	Interactive	1.0
D02349	hsa150	Interactive	1.0
D02354	hsa1128	Interactive	1.0
D02354	hsa1129	Interactive	1.0
D02354	hsa1131	Interactive	1.0
D02354	hsa1132	Interactive	1.0
D02354	hsa1133	Interactive	1.0
D02354	hsa1812	Interactive	1.0
D02354	hsa1813	Interactive	1.0
D02354	hsa1815	Interactive	1.0
D02354	hsa3269	Interactive	1.0
D02354	hsa3356	Interactive	1.0
D02354	hsa3358	Interactive	1.0
D02356	hsa1128	Interactive	1.0
D02356	hsa1129	Interactive	1.0
D02356	hsa146	Interactive	1.0
D02356	hsa147	Interactive	1.0
D02356	hsa148	Interactive	1.0
D02356	hsa150	Interactive	1.0
D02356	hsa151	Interactive	1.0
D02357	hsa3356	Interactive	1.0
D02358	hsa153	Interactive	1.0
D02359	hsa154	Interactive	1.0
D02361	hsa1128	Interactive	1.0
D02361	hsa1129	Interactive	1.0
D02361	hsa1131	Interactive	1.0
D02361	hsa1132	Interactive	1.0
D02361	hsa1133	Interactive	1.0
D02361	hsa146	Interactive	1.0
D02361	hsa147	Interactive	1.0
D02361	hsa148	Interactive	1.0
D02361	hsa1812	Interactive	1.0
D02361	hsa1813	Interactive	1.0
D02361	hsa1815	Interactive	1.0
D02361	hsa3269	Interactive	1.0
D02361	hsa3356	Interactive	1.0
D02361	hsa3358	Interactive	1.0
D02374	hsa153	Interactive	1.0
D02374	hsa154	Interactive	1.0
D02374	hsa155	Interactive	1.0
D02566	hsa11255	Interactive	1.0
D02566	hsa148	Interactive	1.0
D02566	hsa3269	Interactive	1.0
D02566	hsa59340	Interactive	1.0
D02578	hsa3358	Interactive	1.0
D02578	hsa4543	Interactive	1.0
D02588	hsa7201	Interactive	1.0
D02614	hsa153	Interactive	1.0
D02671	hsa1812	Interactive	1.0
D02671	hsa1813	Interactive	1.0
D02671	hsa1814	Interactive	1.0
D02671	hsa1816	Interactive	1.0
D02671	hsa3356	Interactive	1.0
D02721	hsa5731	Interactive	1.0
D02721	hsa5739	Interactive	1.0
D02725	hsa5731	Interactive	1.0
D02725	hsa5733	Interactive	1.0
D02826	hsa3351	Interactive	1.0
D02826	hsa3352	Interactive	1.0
D02884	hsa134	Interactive	1.0
D02884	hsa135	Interactive	1.0
D02910	hsa148	Interactive	1.0
D02910	hsa153	Interactive	1.0
D03165	hsa1813	Interactive	1.0
D03187	hsa5732	Interactive	1.0
D03210	hsa1234	Interactive	1.0
D03274	hsa150	Interactive	1.0
D03274	hsa151	Interactive	1.0
D03274	hsa152	Interactive	1.0
D03365	hsa8843	Interactive	1.0
D03415	hsa153	Interactive	1.0
D03415	hsa154	Interactive	1.0
D03415	hsa155	Interactive	1.0
D03442	hsa886	Interactive	1.0
D03442	hsa887	Interactive	1.0
D03490	hsa153	Interactive	1.0
D03490	hsa154	Interactive	1.0
D03503	hsa3274	Interactive	1.0
D03621	hsa1128	Interactive	1.0
D03621	hsa1129	Interactive	1.0
D03621	hsa1131	Interactive	1.0
D03621	hsa3269	Interactive	1.0
D03642	hsa6915	Interactive	1.0
D03654	hsa1131	Interactive	1.0
D03858	hsa1128	Interactive	1.0
D03858	hsa1129	Interactive	1.0
D03858	hsa1131	Interactive	1.0
D03879	hsa153	Interactive	1.0
D03879	hsa154	Interactive	1.0
D03879	hsa155	Interactive	1.0
D03880	hsa153	Interactive	1.0
D03880	hsa154	Interactive	1.0
D03881	hsa153	Interactive	1.0
D03881	hsa154	Interactive	1.0
D03966	hsa2912	Interactive	1.0
D03966	hsa2913	Interactive	1.0
D03966	hsa2916	Interactive	1.0
D03966	hsa2918	Interactive	1.0
D04006	hsa136	Interactive	1.0
D04034	hsa150	Interactive	1.0
D04034	hsa151	Interactive	1.0
D04034	hsa152	Interactive	1.0
D04040	hsa185	Interactive	1.0
D04375	hsa150	Interactive	1.0
D04625	hsa153	Interactive	1.0
D04716	hsa4988	Interactive	1.0
D04979	hsa3269	Interactive	1.0
D05113	hsa4988	Interactive	1.0
D05129	hsa10800	Interactive	1.0
D05129	hsa3269	Interactive	1.0
D05129	hsa57105	Interactive	1.0
D05129	hsa5729	Interactive	1.0
D05246	hsa185	Interactive	1.0
D05312	hsa4985	Interactive	1.0
D05312	hsa4986	Interactive	1.0
D05312	hsa4988	Interactive	1.0
D05341	hsa6010	Interactive	1.0
D05740	hsa3351	Interactive	1.0
D05740	hsa3352	Interactive	1.0
D05792	hsa154	Interactive	1.0
D05938	hsa4988	Interactive	1.0
D06056	hsa3360	Interactive	1.0
D06396	hsa3360	Interactive	1.0
